1;21918.932450879536;780
2;20274.159374730225;741
3;20726.443547586245;762
4;22491.723315492964;732
5;21012.72755764192;766
6;22568.272607849263;692
7;20015.366483978345;731
8;20547.30355815258;715
9;20920.99141280756;706
10;18703.1385383385;570
11;22224.20991658685;578
12;21851.647236317072;573
13;19026.200243728734;572
14;20091.770250164667;572
15;19078.3333754102;561
16;20499.33766891416;588
17;20927.83395932718;570
18;20945.99576438234;577
19;21468.790210544845;566
20;19988.101515722254;573
21;21076.754396703665;585
22;20475.90705432977;628
23;20015.59251116225;571
24;22756.67076102663;692
25;20076.944245890234;592
26;20661.850122586435;590
27;20718.18665309463;589
28;19965.636443680778;610
29;21910.32446902983;662
30;22306.914098898924;606
